Order ID,Customer ID,Product,Category,Region,Sales Amount,Order Date
ORD1000,CUST86,Tablet,Electronics,North,1062.33,2023-10-30
ORD1001,CUST29,Monitor,Electronics,West,827.34,2023-01-12
ORD1002,CUST88,Keyboard,Accessories,West,498.82,2023-11-14
ORD1003,CUST45,Tablet,Electronics,South,1230.0,2023-03-21
ORD1004,CUST9,Headphones,Accessories,North,1042.86,2023-08-04
ORD1005,CUST7,Smartwatch,Accessories,West,285.79,2023-12-05
ORD1006,CUST58,Keyboard,Accessories,South,1370.84,2023-09-21
ORD1007,CUST42,Keyboard,Accessories,North,1242.68,2023-05-29
ORD1008,CUST46,Tablet,Electronics,South,1427.21,2023-03-22
ORD1009,CUST6,Laptop,Electronics,East,1102.29,2023-08-03
ORD1010,CUST21,Headphones,Accessories,West,939.45,2023-07-17
ORD1011,CUST22,Tablet,Electronics,East,656.45,2023-07-19
ORD1012,CUST74,Headphones,Accessories,North,1402.46,2023-01-25
ORD1013,CUST49,Headphones,Accessories,East,1305.79,2023-03-30
ORD1014,CUST81,Smartwatch,Accessories,East,115.57,2023-09-25
ORD1015,CUST10,Keyboard,Accessories,North,88.23,2023-05-23
ORD1016,CUST54,Monitor,Electronics,South,595.87,2023-02-28
ORD1017,CUST89,Smartwatch,Accessories,East,1225.3,2023-12-31
ORD1018,CUST90,Smartwatch,Accessories,South,1481.55,2023-01-26
ORD1019,CUST29,Headphones,Accessories,East,268.1,2023-02-16
ORD1020,CUST42,Mouse,Accessories,South,911.49,2023-10-15
ORD1021,CUST84,Keyboard,Accessories,North,602.29,2023-09-23
ORD1022,CUST46,Laptop,Electronics,East,1456.38,2023-01-16
ORD1023,CUST31,Smartwatch,Accessories,North,1271.07,2023-07-18
ORD1024,CUST24,Monitor,Electronics,East,1265.58,2023-10-09
ORD1025,CUST36,Mouse,Accessories,North,729.61,2023-03-27
ORD1026,CUST21,Mouse,Accessories,North,651.49,2023-09-07
ORD1027,CUST11,Laptop,Electronics,East,446.44,2023-09-27
ORD1028,CUST18,Smartwatch,Accessories,East,131.74,2023-12-01
ORD1029,CUST15,Monitor,Electronics,East,1303.85,2023-04-27
ORD1030,CUST93,Keyboard,Accessories,West,1228.71,2023-01-07
ORD1031,CUST52,Smartphone,Electronics,South,1499.59,2023-05-17
ORD1032,CUST29,Monitor,Electronics,West,1495.12,2023-06-25
ORD1033,CUST78,Laptop,Electronics,West,855.38,2023-11-24
ORD1034,CUST84,Mouse,Accessories,North,1165.03,2023-11-11
ORD1035,CUST92,Keyboard,Accessories,East,1419.91,2023-08-03
ORD1036,CUST27,Monitor,Electronics,South,1281.99,2023-03-23
ORD1037,CUST67,Smartphone,Electronics,North,408.65,2023-08-11
ORD1038,CUST94,Smartphone,Electronics,West,703.29,2023-04-13
ORD1039,CUST70,Headphones,Accessories,East,237.28,2023-09-30
ORD1040,CUST96,Headphones,Accessories,North,1433.37,2023-01-14
ORD1041,CUST22,Tablet,Electronics,East,928.95,2023-06-08
ORD1042,CUST26,Laptop,Electronics,North,381.53,2023-06-01
ORD1043,CUST36,Smartwatch,Accessories,East,1023.97,2023-04-18
ORD1044,CUST98,Monitor,Electronics,West,946.29,2023-07-07
ORD1045,CUST4,Monitor,Electronics,South,569.34,2023-10-28
ORD1046,CUST28,Smartwatch,Accessories,West,214.66,2023-04-08
ORD1047,CUST36,Tablet,Electronics,South,1023.78,2023-05-11
ORD1048,CUST42,Mouse,Accessories,East,804.45,2023-10-20
ORD1049,CUST99,Mouse,Accessories,North,1169.86,2023-06-20
ORD1050,CUST33,Tablet,Electronics,West,804.24,2023-07-02
ORD1051,CUST62,Mouse,Accessories,South,1285.66,2023-12-30
ORD1052,CUST92,Headphones,Accessories,West,850.26,2023-02-08
ORD1053,CUST41,Monitor,Electronics,South,863.36,2023-01-15
ORD1054,CUST48,Tablet,Electronics,West,1321.15,2023-01-04
ORD1055,CUST59,Monitor,Electronics,South,635.05,2023-12-15
ORD1056,CUST62,Smartwatch,Accessories,South,244.32,2023-07-29
ORD1057,CUST97,Smartphone,Electronics,East,91.73,2023-06-10
ORD1058,CUST65,Headphones,Accessories,South,1144.95,2023-01-16
ORD1059,CUST25,Keyboard,Accessories,East,949.45,2023-04-18
ORD1060,CUST66,Headphones,Accessories,South,1070.92,2023-11-07
ORD1061,CUST99,Tablet,Electronics,North,358.8,2023-08-15
ORD1062,CUST87,Keyboard,Accessories,North,247.74,2023-06-19
ORD1063,CUST67,Smartphone,Electronics,North,71.09,2023-02-03
ORD1064,CUST37,Tablet,Electronics,South,558.35,2023-09-08
ORD1065,CUST60,Laptop,Electronics,East,905.38,2023-09-04
ORD1066,CUST5,Monitor,Electronics,East,618.75,2023-09-26
ORD1067,CUST63,Smartphone,Electronics,South,684.34,2023-05-21
ORD1068,CUST30,Monitor,Electronics,North,1361.03,2023-10-01
ORD1069,CUST27,Mouse,Accessories,North,554.97,2023-04-06
ORD1070,CUST27,Laptop,Electronics,East,795.28,2023-08-15
ORD1071,CUST51,Laptop,Electronics,North,1186.3,2023-02-08
ORD1072,CUST27,Smartphone,Electronics,West,624.99,2023-10-29
ORD1073,CUST81,Laptop,Electronics,East,952.03,2023-01-29
ORD1074,CUST91,Keyboard,Accessories,North,1300.43,2023-11-14
ORD1075,CUST93,Laptop,Electronics,East,1426.8,2023-09-02
ORD1076,CUST53,Monitor,Electronics,West,263.26,2023-08-24
ORD1077,CUST30,Monitor,Electronics,East,1393.55,2023-07-04
ORD1078,CUST9,Tablet,Electronics,East,763.57,2023-09-29
ORD1079,CUST66,Monitor,Electronics,East,424.45,2023-08-24
ORD1080,CUST34,Tablet,Electronics,East,715.75,2023-08-27
ORD1081,CUST41,Monitor,Electronics,West,1471.05,2023-09-23
ORD1082,CUST7,Keyboard,Accessories,South,764.3,2023-12-25
ORD1083,CUST9,Smartwatch,Accessories,East,526.69,2023-12-06
ORD1084,CUST55,Tablet,Electronics,East,968.43,2023-03-06
ORD1085,CUST96,Headphones,Accessories,North,398.21,2023-06-26
ORD1086,CUST20,Mouse,Accessories,East,160.0,2023-01-03
ORD1087,CUST68,Smartphone,Electronics,North,236.88,2023-05-22
ORD1088,CUST22,Monitor,Electronics,South,235.67,2023-06-07
ORD1089,CUST43,Laptop,Electronics,West,270.26,2023-11-20
ORD1090,CUST9,Smartwatch,Accessories,West,251.3,2023-05-26
ORD1091,CUST9,Monitor,Electronics,South,979.27,2023-10-20
ORD1092,CUST55,Laptop,Electronics,West,313.73,2023-06-02
ORD1093,CUST77,Mouse,Accessories,South,551.22,2023-07-12
ORD1094,CUST56,Mouse,Accessories,South,1350.34,2023-03-14
ORD1095,CUST18,Mouse,Accessories,South,737.24,2023-11-01
ORD1096,CUST58,Laptop,Electronics,West,1017.96,2023-12-10
ORD1097,CUST28,Monitor,Electronics,North,299.86,2023-05-20
ORD1098,CUST79,Mouse,Accessories,South,328.82,2023-07-06
ORD1099,CUST73,Keyboard,Accessories,East,109.26,2023-10-20
ORD1100,CUST56,Tablet,Electronics,West,294.96,2023-03-02
ORD1101,CUST59,Laptop,Electronics,South,453.96,2023-07-17
ORD1102,CUST2,Laptop,Electronics,South,306.67,2023-10-22
ORD1103,CUST25,Monitor,Electronics,East,178.62,2023-11-15
ORD1104,CUST9,Laptop,Electronics,North,224.92,2023-10-29
ORD1105,CUST22,Laptop,Electronics,North,718.13,2023-12-10
ORD1106,CUST99,Mouse,Accessories,North,349.18,2023-01-11
ORD1107,CUST21,Monitor,Electronics,South,578.19,2023-03-03
ORD1108,CUST83,Mouse,Accessories,South,779.96,2023-11-29
ORD1109,CUST90,Tablet,Electronics,South,1051.07,2023-08-14
ORD1110,CUST84,Smartwatch,Accessories,West,107.0,2023-06-02
ORD1111,CUST55,Tablet,Electronics,East,1209.15,2023-07-18
ORD1112,CUST96,Smartwatch,Accessories,South,960.46,2023-02-21
ORD1113,CUST65,Mouse,Accessories,East,168.55,2023-09-17
ORD1114,CUST92,Tablet,Electronics,East,1316.69,2023-02-28
ORD1115,CUST4,Monitor,Electronics,North,1385.26,2023-03-13
ORD1116,CUST97,Smartphone,Electronics,West,138.56,2023-05-28
ORD1117,CUST53,Mouse,Accessories,South,451.47,2023-12-15
ORD1118,CUST68,Smartwatch,Accessories,North,1218.99,2023-03-04
ORD1119,CUST85,Keyboard,Accessories,North,1134.98,2023-11-06
ORD1120,CUST80,Smartwatch,Accessories,South,317.56,2023-08-31
ORD1121,CUST55,Keyboard,Accessories,East,353.56,2023-11-26
ORD1122,CUST52,Laptop,Electronics,North,587.18,2023-04-17
ORD1123,CUST75,Tablet,Electronics,East,752.56,2023-08-14
ORD1124,CUST96,Keyboard,Accessories,West,946.47,2023-11-09
ORD1125,CUST62,Smartwatch,Accessories,East,584.92,2023-08-06
ORD1126,CUST68,Laptop,Electronics,West,720.68,2023-08-29
ORD1127,CUST56,Smartphone,Electronics,East,1133.83,2023-09-16
ORD1128,CUST31,Monitor,Electronics,North,103.19,2023-09-19
ORD1129,CUST31,Monitor,Electronics,North,416.03,2023-01-05
ORD1130,CUST12,Monitor,Electronics,West,1084.36,2023-09-18
ORD1131,CUST19,Keyboard,Accessories,South,1348.05,2023-02-23
ORD1132,CUST4,Smartphone,Electronics,West,791.93,2023-02-16
ORD1133,CUST56,Keyboard,Accessories,West,821.56,2023-08-03
ORD1134,CUST71,Tablet,Electronics,East,205.4,2023-06-26
ORD1135,CUST52,Keyboard,Accessories,East,698.75,2023-01-09
ORD1136,CUST58,Smartphone,Electronics,West,822.3,2023-04-09
ORD1137,CUST73,Smartphone,Electronics,North,401.58,2023-01-20
ORD1138,CUST48,Tablet,Electronics,East,440.4,2023-08-29
ORD1139,CUST21,Smartphone,Electronics,South,597.06,2023-03-02
ORD1140,CUST45,Smartwatch,Accessories,East,79.1,2023-06-27
ORD1141,CUST19,Smartphone,Electronics,East,517.01,2023-12-04
ORD1142,CUST63,Monitor,Electronics,South,356.6,2023-03-03
ORD1143,CUST1,Smartwatch,Accessories,West,524.87,2023-05-25
ORD1144,CUST25,Smartwatch,Accessories,South,223.66,2023-08-04
ORD1145,CUST58,Tablet,Electronics,West,1341.26,2023-01-03
ORD1146,CUST21,Headphones,Accessories,West,910.71,2023-06-09
ORD1147,CUST87,Headphones,Accessories,West,1034.7,2023-08-15
ORD1148,CUST48,Smartphone,Electronics,South,1194.3,2023-09-26
ORD1149,CUST61,Smartwatch,Accessories,West,772.74,2023-04-30
ORD1150,CUST41,Headphones,Accessories,North,176.03,2023-03-30
ORD1151,CUST41,Headphones,Accessories,South,828.8,2023-11-25
ORD1152,CUST5,Smartphone,Electronics,North,900.92,2023-03-09
ORD1153,CUST23,Headphones,Accessories,West,1130.89,2023-12-23
ORD1154,CUST81,Keyboard,Accessories,East,675.91,2023-04-08
ORD1155,CUST53,Laptop,Electronics,West,234.99,2023-09-24
ORD1156,CUST19,Tablet,Electronics,North,461.48,2023-04-15
ORD1157,CUST95,Laptop,Electronics,North,576.47,2023-11-19
ORD1158,CUST61,Smartphone,Electronics,South,986.58,2023-05-03
ORD1159,CUST60,Monitor,Electronics,East,877.63,2023-01-29
ORD1160,CUST71,Tablet,Electronics,South,566.34,2023-05-17
ORD1161,CUST1,Smartphone,Electronics,North,1480.45,2023-07-14
ORD1162,CUST30,Smartwatch,Accessories,West,928.37,2023-08-14
ORD1163,CUST87,Monitor,Electronics,East,393.98,2023-11-28
ORD1164,CUST87,Laptop,Electronics,West,197.58,2023-06-19
ORD1165,CUST8,Smartphone,Electronics,West,271.65,2023-01-09
ORD1166,CUST88,Smartwatch,Accessories,East,406.64,2023-02-09
ORD1167,CUST17,Tablet,Electronics,South,282.99,2023-01-25
ORD1168,CUST7,Tablet,Electronics,West,320.52,2023-09-18
ORD1169,CUST13,Mouse,Accessories,North,463.39,2023-08-14
ORD1170,CUST49,Smartwatch,Accessories,West,301.39,2023-05-04
ORD1171,CUST75,Keyboard,Accessories,East,1350.31,2023-02-07
ORD1172,CUST96,Headphones,Accessories,East,166.34,2023-11-24
ORD1173,CUST53,Monitor,Electronics,East,810.54,2023-09-08
ORD1174,CUST73,Smartwatch,Accessories,South,645.08,2023-06-25
ORD1175,CUST63,Mouse,Accessories,West,1474.45,2023-03-31
ORD1176,CUST62,Headphones,Accessories,South,212.46,2023-02-06
ORD1177,CUST62,Headphones,Accessories,South,626.89,2023-11-12
ORD1178,CUST45,Smartphone,Electronics,East,1455.73,2023-06-25
ORD1179,CUST49,Headphones,Accessories,East,1304.99,2023-10-11
ORD1180,CUST9,Keyboard,Accessories,South,1234.75,2023-03-22
ORD1181,CUST19,Tablet,Electronics,West,423.96,2023-04-24
ORD1182,CUST69,Mouse,Accessories,North,297.79,2023-02-09
ORD1183,CUST1,Headphones,Accessories,South,1019.53,2023-10-28
ORD1184,CUST26,Smartphone,Electronics,West,1397.6,2023-08-12
ORD1185,CUST43,Keyboard,Accessories,East,857.31,2023-11-14
ORD1186,CUST14,Laptop,Electronics,East,878.84,2023-12-15
ORD1187,CUST68,Tablet,Electronics,West,455.97,2023-04-25
ORD1188,CUST59,Tablet,Electronics,North,1165.76,2023-07-05
ORD1189,CUST47,Mouse,Accessories,East,321.21,2023-11-19
ORD1190,CUST27,Tablet,Electronics,East,519.33,2023-02-25
ORD1191,CUST61,Headphones,Accessories,East,666.88,2023-02-09
ORD1192,CUST63,Smartphone,Electronics,West,786.04,2023-12-20
ORD1193,CUST43,Tablet,Electronics,South,401.49,2023-02-09
ORD1194,CUST40,Tablet,Electronics,East,216.51,2023-12-13
ORD1195,CUST37,Laptop,Electronics,South,935.4,2023-08-25
ORD1196,CUST40,Laptop,Electronics,North,468.51,2023-10-16
ORD1197,CUST63,Monitor,Electronics,East,892.8,2023-09-19
ORD1198,CUST20,Keyboard,Accessories,East,273.83,2023-08-04
ORD1199,CUST54,Headphones,Accessories,North,747.65,2023-05-27
ORD1200,CUST7,Tablet,Electronics,East,822.25,2023-12-02
ORD1201,CUST19,Smartwatch,Accessories,South,125.14,2023-06-17
ORD1202,CUST1,Tablet,Electronics,West,538.08,2023-04-02
ORD1203,CUST91,Smartphone,Electronics,South,244.9,2023-12-19
ORD1204,CUST94,Monitor,Electronics,West,141.89,2023-02-28
ORD1205,CUST4,Keyboard,Accessories,West,1485.44,2023-02-28
ORD1206,CUST75,Smartwatch,Accessories,South,517.41,2023-10-31
ORD1207,CUST76,Monitor,Electronics,South,1224.32,2023-06-18
ORD1208,CUST81,Mouse,Accessories,South,419.23,2023-09-26
ORD1209,CUST44,Keyboard,Accessories,South,1038.18,2023-12-29
ORD1210,CUST40,Tablet,Electronics,North,1152.33,2023-02-14
ORD1211,CUST33,Tablet,Electronics,East,913.68,2023-12-11
ORD1212,CUST23,Keyboard,Accessories,West,733.79,2023-06-30
ORD1213,CUST12,Tablet,Electronics,South,647.17,2023-06-19
ORD1214,CUST71,Headphones,Accessories,South,555.86,2023-12-22
ORD1215,CUST7,Keyboard,Accessories,South,1397.82,2023-07-10
ORD1216,CUST82,Monitor,Electronics,North,1254.4,2023-06-04
ORD1217,CUST31,Keyboard,Accessories,South,1449.29,2023-07-07
ORD1218,CUST31,Smartwatch,Accessories,South,230.23,2023-01-07
ORD1219,CUST60,Tablet,Electronics,South,1109.76,2023-05-13
ORD1220,CUST77,Headphones,Accessories,East,1410.59,2023-08-23
ORD1221,CUST32,Headphones,Accessories,North,312.79,2023-02-14
ORD1222,CUST75,Mouse,Accessories,South,146.42,2023-11-10
ORD1223,CUST86,Monitor,Electronics,West,1124.62,2023-09-06
ORD1224,CUST60,Laptop,Electronics,West,882.99,2023-01-31
ORD1225,CUST93,Laptop,Electronics,West,1270.65,2023-01-23
ORD1226,CUST46,Keyboard,Accessories,North,252.67,2023-06-09
ORD1227,CUST13,Mouse,Accessories,North,1203.14,2023-12-29
ORD1228,CUST22,Smartphone,Electronics,West,342.36,2023-06-07
ORD1229,CUST7,Keyboard,Accessories,South,287.3,2023-02-08
ORD1230,CUST15,Mouse,Accessories,North,288.19,2023-03-23
ORD1231,CUST57,Monitor,Electronics,West,1231.13,2023-12-22
ORD1232,CUST92,Monitor,Electronics,West,1014.54,2023-09-15
ORD1233,CUST53,Monitor,Electronics,South,808.44,2023-07-25
ORD1234,CUST56,Monitor,Electronics,East,570.3,2023-03-18
ORD1235,CUST92,Monitor,Electronics,North,1321.94,2023-01-12
ORD1236,CUST77,Mouse,Accessories,South,619.05,2023-10-22
ORD1237,CUST43,Mouse,Accessories,West,1234.07,2023-08-12
ORD1238,CUST41,Headphones,Accessories,West,686.75,2023-01-13
ORD1239,CUST95,Smartwatch,Accessories,South,596.57,2023-02-15
ORD1240,CUST56,Laptop,Electronics,North,720.89,2023-06-04
ORD1241,CUST63,Tablet,Electronics,East,487.0,2023-04-23
ORD1242,CUST88,Monitor,Electronics,East,1134.03,2023-08-21
ORD1243,CUST79,Smartphone,Electronics,West,778.94,2023-01-17
ORD1244,CUST11,Tablet,Electronics,North,386.71,2023-12-26
ORD1245,CUST3,Mouse,Accessories,East,1354.38,2023-08-11
ORD1246,CUST77,Smartphone,Electronics,North,606.64,2023-12-20
ORD1247,CUST10,Smartphone,Electronics,North,838.15,2023-07-07
ORD1248,CUST24,Smartphone,Electronics,West,1364.38,2023-12-10
ORD1249,CUST9,Headphones,Accessories,East,955.15,2023-12-31
